date,hospital,event_type,records_affected,severity,status
2025-01-19,GulfStar North,Excess Access,26,Low,Closed
2025-10-23,GulfStar Community,Excess Access,309,Low,Closed
2026-02-28,GulfStar Medical Center,Minimum Necessary,268,Low,Closed
2026-04-24,GulfStar Community,Excess Access,250,Moderate,Closed
2026-02-01,GulfStar North,Unencrypted Device,239,Moderate,Closed
2025-02-24,GulfStar North,Excess Access,309,Low,Closed
2025-03-30,GulfStar Community,Excess Access,268,High,Closed
2025-10-23,GulfStar North,Excess Access,13,Low,Closed
2026-03-09,GulfStar North,Third-Party Risk,98,High,Remediation Open
2025-03-26,GulfStar Medical Center,Excess Access,278,High,Closed
2025-11-29,GulfStar North,Excess Access,54,High,Closed
2025-03-10,GulfStar North,Excess Access,67,Low,Closed
2025-09-25,GulfStar North,Misdirected Communication,157,Low,Closed
2026-04-04,GulfStar Community,Misdirected Communication,75,Moderate,Closed
2025-09-14,GulfStar Community,Excess Access,120,Moderate,Remediation Open
2025-12-06,GulfStar Community,Excess Access,340,Moderate,Closed
2026-07-18,GulfStar North,Excess Access,323,Moderate,Remediation Open
2025-12-08,GulfStar Community,Minimum Necessary,125,Moderate,Closed
2025-10-14,GulfStar North,Third-Party Risk,63,High,Closed
2025-12-07,GulfStar North,Minimum Necessary,33,Low,Closed
2026-07-22,GulfStar Medical Center,Unencrypted Device,56,High,Closed
2025-06-24,GulfStar North,Misdirected Communication,51,Moderate,Closed
2025-07-21,GulfStar North,Excess Access,155,Low,Closed
2025-11-25,GulfStar Community,Minimum Necessary,86,Low,Monitoring
2026-06-18,GulfStar North,Third-Party Risk,293,Low,Closed
2026-06-13,GulfStar Medical Center,Excess Access,303,Low,Closed
2026-03-27,GulfStar North,Excess Access,322,Low,Closed
2025-10-07,GulfStar Medical Center,Excess Access,286,Moderate,Monitoring
2026-08-07,GulfStar Community,Third-Party Risk,232,Moderate,Closed
2026-03-27,GulfStar North,Unencrypted Device,187,Low,Closed
2025-02-18,GulfStar Medical Center,Minimum Necessary,90,Low,Closed
2026-06-01,GulfStar North,Excess Access,191,Low,Closed
2025-09-20,GulfStar North,Excess Access,254,Low,Closed
2025-03-25,GulfStar Medical Center,Minimum Necessary,31,High,Closed
2025-06-06,GulfStar North,Excess Access,260,Low,Monitoring
2026-02-14,GulfStar Community,Misdirected Communication,29,Low,Monitoring
2026-02-06,GulfStar Community,Minimum Necessary,205,Moderate,Closed
2025-07-26,GulfStar Community,Unencrypted Device,37,Low,Monitoring
2025-11-29,GulfStar Community,Misdirected Communication,28,Low,Closed
2025-12-22,GulfStar Medical Center,Misdirected Communication,123,Low,Closed
2025-08-12,GulfStar Community,Misdirected Communication,342,Low,Closed
2026-05-07,GulfStar Community,Misdirected Communication,51,Low,Closed
2025-04-27,GulfStar Community,Minimum Necessary,85,Low,Closed
2026-07-17,GulfStar Medical Center,Excess Access,45,Low,Closed
2025-01-22,GulfStar Community,Third-Party Risk,307,Moderate,Remediation Open
2025-08-28,GulfStar North,Misdirected Communication,87,Moderate,Remediation Open
2025-08-28,GulfStar Community,Excess Access,93,Moderate,Closed
2026-06-28,GulfStar Medical Center,Excess Access,77,Moderate,Remediation Open
2025-12-20,GulfStar Medical Center,Excess Access,325,Low,Closed
2026-01-07,GulfStar North,Excess Access,3,Moderate,Closed
2025-09-15,GulfStar Community,Excess Access,283,Moderate,Closed
