date,hospital,predicted_census,horizon_day,radius_90,lower_90,upper_90
2026-08-08,GulfStar Community,112.783,1,15.3403,97.4427,128.1233
2026-08-08,GulfStar Medical Center,258.7606,1,15.3403,243.4203,274.1009
2026-08-08,GulfStar North,155.8678,1,15.3403,140.5275,171.2081
2026-08-09,GulfStar Community,113.7352,2,15.3403,98.3949,129.0756
2026-08-09,GulfStar Medical Center,263.8161,2,15.3403,248.4758,279.1564
2026-08-09,GulfStar North,158.4153,2,15.3403,143.075,173.7556
2026-08-10,GulfStar Community,112.4559,3,15.3403,97.1156,127.7962
2026-08-10,GulfStar Medical Center,262.4653,3,15.3403,247.125,277.8056
2026-08-10,GulfStar North,158.3929,3,15.3403,143.0526,173.7332
2026-08-11,GulfStar Community,112.8932,4,15.3403,97.5529,128.2336
2026-08-11,GulfStar Medical Center,263.9263,4,15.3403,248.586,279.2667
2026-08-11,GulfStar North,156.9752,4,15.3403,141.6349,172.3155
2026-08-12,GulfStar Community,113.89,5,15.3403,98.5497,129.2303
2026-08-12,GulfStar Medical Center,259.9431,5,15.3403,244.6028,275.2834
2026-08-12,GulfStar North,158.2441,5,15.3403,142.9038,173.5844
2026-08-13,GulfStar Community,111.9865,6,15.3403,96.6462,127.3268
2026-08-13,GulfStar Medical Center,263.1978,6,15.3403,247.8575,278.5381
2026-08-13,GulfStar North,158.3501,6,15.3403,143.0098,173.6905
2026-08-14,GulfStar Community,112.1345,7,15.3403,96.7942,127.4748
2026-08-14,GulfStar Medical Center,263.4415,7,15.3403,248.1012,278.7818
2026-08-14,GulfStar North,156.343,7,15.3403,141.0027,171.6833
2026-08-15,GulfStar Community,112.551,8,12.7577,99.7933,125.3088
2026-08-15,GulfStar Medical Center,261.0179,8,12.7577,248.2602,273.7756
2026-08-15,GulfStar North,157.4018,8,12.7577,144.6441,170.1595
2026-08-16,GulfStar Community,113.0572,9,12.7577,100.2995,125.8149
2026-08-16,GulfStar Medical Center,261.849,9,12.7577,249.0913,274.6067
2026-08-16,GulfStar North,158.5879,9,12.7577,145.8301,171.3456
2026-08-17,GulfStar Community,113.0037,10,12.7577,100.246,125.7614
2026-08-17,GulfStar Medical Center,262.598,10,12.7577,249.8403,275.3558
2026-08-17,GulfStar North,158.8786,10,12.7577,146.1208,171.6363
2026-08-18,GulfStar Community,112.1611,11,12.7577,99.4034,124.9189
2026-08-18,GulfStar Medical Center,261.9543,11,12.7577,249.1966,274.712
2026-08-18,GulfStar North,157.4546,11,12.7577,144.6968,170.2123
2026-08-19,GulfStar Community,114.0911,12,12.7577,101.3334,126.8488
2026-08-19,GulfStar Medical Center,260.8517,12,12.7577,248.094,273.6094
2026-08-19,GulfStar North,160.0317,12,12.7577,147.274,172.7894
2026-08-20,GulfStar Community,112.3285,13,12.7577,99.5708,125.0862
2026-08-20,GulfStar Medical Center,262.3179,13,12.7577,249.5602,275.0756
2026-08-20,GulfStar North,158.6775,13,12.7577,145.9198,171.4353
2026-08-21,GulfStar Community,111.9519,14,12.7577,99.1942,124.7096
2026-08-21,GulfStar Medical Center,261.9843,14,12.7577,249.2266,274.742
2026-08-21,GulfStar North,157.0146,14,12.7577,144.2569,169.7723
2026-08-22,GulfStar Community,112.6605,15,12.7577,99.9028,125.4182
2026-08-22,GulfStar Medical Center,261.5724,15,12.7577,248.8147,274.3302
2026-08-22,GulfStar North,157.5014,15,12.7577,144.7437,170.2591
2026-08-23,GulfStar Community,113.5033,16,12.7577,100.7455,126.261
2026-08-23,GulfStar Medical Center,263.98,16,12.7577,251.2223,276.7377
2026-08-23,GulfStar North,158.7601,16,12.7577,146.0023,171.5178
2026-08-24,GulfStar Community,112.5585,17,12.7577,99.8008,125.3163
2026-08-24,GulfStar Medical Center,262.9443,17,12.7577,250.1866,275.702
2026-08-24,GulfStar North,158.8738,17,12.7577,146.1161,171.6316
2026-08-25,GulfStar Community,113.4274,18,12.7577,100.6697,126.1851
2026-08-25,GulfStar Medical Center,263.3493,18,12.7577,250.5916,276.107
2026-08-25,GulfStar North,158.7008,18,12.7577,145.9431,171.4586
2026-08-26,GulfStar Community,113.6343,19,12.7577,100.8766,126.392
2026-08-26,GulfStar Medical Center,260.0775,19,12.7577,247.3198,272.8353
2026-08-26,GulfStar North,158.1064,19,12.7577,145.3487,170.8641
2026-08-27,GulfStar Community,113.0058,20,12.7577,100.2481,125.7635
2026-08-27,GulfStar Medical Center,261.8529,20,12.7577,249.0952,274.6106
2026-08-27,GulfStar North,158.8431,20,12.7577,146.0853,171.6008
2026-08-28,GulfStar Community,112.7918,21,12.7577,100.0341,125.5495
2026-08-28,GulfStar Medical Center,262.7966,21,12.7577,250.0389,275.5543
2026-08-28,GulfStar North,157.5391,21,12.7577,144.7814,170.2968
2026-08-29,GulfStar Community,113.3198,22,14.3149,99.0049,127.6347
2026-08-29,GulfStar Medical Center,260.7013,22,14.3149,246.3864,275.0162
2026-08-29,GulfStar North,157.6699,22,14.3149,143.355,171.9848
2026-08-30,GulfStar Community,113.6104,23,14.3149,99.2955,127.9253
2026-08-30,GulfStar Medical Center,262.6814,23,14.3149,248.3665,276.9963
2026-08-30,GulfStar North,158.3524,23,14.3149,144.0375,172.6673
2026-08-31,GulfStar Community,113.552,24,14.3149,99.2372,127.8669
2026-08-31,GulfStar Medical Center,262.2669,24,14.3149,247.952,276.5818
2026-08-31,GulfStar North,158.7402,24,14.3149,144.4253,173.0551
2026-09-01,GulfStar Community,113.4206,25,14.3149,99.1057,127.7355
2026-09-01,GulfStar Medical Center,262.4054,25,14.3149,248.0905,276.7203
2026-09-01,GulfStar North,157.5414,25,14.3149,143.2265,171.8563
2026-09-02,GulfStar Community,114.1548,26,14.3149,99.84,128.4697
2026-09-02,GulfStar Medical Center,260.5588,26,14.3149,246.2439,274.8737
2026-09-02,GulfStar North,158.8014,26,14.3149,144.4865,173.1163
2026-09-03,GulfStar Community,112.8908,27,14.3149,98.5759,127.2057
2026-09-03,GulfStar Medical Center,263.3909,27,14.3149,249.076,277.7058
2026-09-03,GulfStar North,158.0609,27,14.3149,143.746,172.3757
2026-09-04,GulfStar Community,112.9515,28,14.3149,98.6366,127.2664
2026-09-04,GulfStar Medical Center,262.1156,28,14.3149,247.8007,276.4305
2026-09-04,GulfStar North,157.2884,28,14.3149,142.9736,171.6033
2026-09-05,GulfStar Community,113.0555,29,14.3149,98.7406,127.3704
2026-09-05,GulfStar Medical Center,261.3581,29,14.3149,247.0432,275.673
2026-09-05,GulfStar North,157.7514,29,14.3149,143.4365,172.0663
2026-09-06,GulfStar Community,113.7972,30,14.3149,99.4823,128.112
2026-09-06,GulfStar Medical Center,262.6743,30,14.3149,248.3594,276.9892
2026-09-06,GulfStar North,158.7391,30,14.3149,144.4242,173.054
