hospitals,mean_predicted,observed_rate,probability_type
262,0.278527,0.39313,Uncalibrated
262,0.348883,0.396947,Uncalibrated
262,0.390303,0.362595,Uncalibrated
262,0.433743,0.385496,Uncalibrated
262,0.470852,0.484733,Uncalibrated
262,0.507176,0.473282,Uncalibrated
262,0.545627,0.583969,Uncalibrated
262,0.586598,0.641221,Uncalibrated
262,0.642319,0.637405,Uncalibrated
262,0.739104,0.729008,Uncalibrated
351,0.357909,0.418803,Calibrated
182,0.402858,0.401099,Calibrated
420,0.411054,0.354762,Calibrated
194,0.421425,0.402062,Calibrated
166,0.45514,0.46988,Calibrated
279,0.51204,0.516129,Calibrated
306,0.576229,0.571895,Calibrated
260,0.623837,0.669231,Calibrated
232,0.66408,0.616379,Calibrated
230,0.73469,0.747826,Calibrated
